# SITE INFORMATION TYPE = 1|STATE_CODE|STATE_NAME|COUNTY_CODE|COUNTY_NAME|SITE_ID|PARAMETER_CODE|PARAMETER_DESC|CITY_CODE|CITY_NAME|STREET_ADDRESS|AQCR_CODE|AQCR_NAME|CBSA_CODE|CBSA_NAME|CSA_CODE|CSA_NAME|EPA_REGION|UAR_CODE|UAR_NAME|LAND_USE|LOC_SET|LATITUDE|LONGITUDE|UTM_ZONE|UTM_NORTHING|UTM_EASTING|HORIZ_COLLECT|HORIZ_METHOD|HORIZ_DATUM|HORIZ_ACC|HORIZ_SCALE|ELEVATION_MSL|VERT_COLLECT|VERT_METHOD|VERT_DATUM|VERT_ACC
# DAILY VALUE TYPE = 2|STATE_CODE|COUNTY_CODE|SITE_ID|PARAMETER_CODE|UNITS|PRIMARY_MONITOR_POC|MONITOR_TYPE|PQAO|PQAO_NAME|SAMPLE_DATE|VALUE|SOURCE|EDT_ID
1|42|Pennsylvania|041|Cumberland|0101|88101|PM2.5 - Local Conditions|11272|Carlisle|IMPERIAL COURT|196|SOUTH CENTRAL PENNSYLVANIA|25420|Harrisburg-Carlisle, PA|276|Harrisburg-York-Lebanon, PA|03|||RESIDENTIAL|RURAL|40.246528|-77.18675||||015|GPS CODE (PSEUDO RANGE) PRECISE POSITION|WGS84|18.22|0|0|000|UNKNOWN|UNKNOWN|0
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140619|8.8|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140620|2.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140621|7.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140622|10.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140623|10.1|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140624|8.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140625|9.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140626|3.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140627|8.6|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140628|7.9|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140629|10.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140630|11.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140701|12.2|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140702|14.0|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140703|10.7|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140704|5.3|P|5
2|42|041|0101|88101|105|1|SLAMS|0851|Pennsylvania Department Of Environmental Protection|20140705|6.5|P|5
